SubscriptionID;CustomerID;ProductID;Pattern;StartDate;EndDate;NbrNewspapers;NbrStart;RenewalDate;PaymentType;PaymentStatus;PaymentDate;FormulaID;GrossFormulaPrice;NetFormulaPrice;NetNewspaperPrice;ProductDiscount;FormulaDiscount;TotalDiscount;TotalPrice;TotalCredit
1003709;202650;8;1111110;16/02/2010;18/05/2010;76;10;19/04/2010;BT;Paid;03/02/2010;8635;79;79;1.039474;0;0;0;79;0
1003796;34087;8;1111110;17/02/2010;19/05/2010;76;10;19/04/2010;BT;Paid;15/02/2010;8635;79;79;1.039474;0;0;0;79;0
1004091;496557;6;1111110;03/02/2010;03/03/2010;25;25;15/02/2010;DD;Paid;20/01/2010;5389;22.9;22.9;0.916;0;0;0;22.9;0
1004104;686073;3;1111110;02/02/2010;02/03/2010;25;10;15/02/2010;DD;Paid;20/01/2010;9417;27;27;1.08;0;0;0;27;0
100416;89348;8;1111110;09/12/2007;08/12/2008;304;10;10/11/2008;BT;Paid;04/12/2007;874;235;235;0.765789;0;0;0;232.8;-2.2
100417;89348;8;1111110;09/12/2006;08/12/2007;304;25;08/11/2007;BT;Paid;24/11/2006;874;235;235;0.773026;0;0;0;235;0
1004282;681524;2;1111110;20/01/2010;17/02/2010;25;25;;BT;Paid;15/02/2010;4847;26;13;0.52;0;13;13;13;0
1004365;686509;2;1111110;04/02/2010;04/03/2010;25;10;16/02/2010;DD;Paid;20/01/2010;9417;27;27;1.08;0;0;0;27;0
100450;89370;8;1111110;01/07/2008;01/07/2009;304;10;01/06/2009;BT;Paid;25/06/2008;875;249;249;0.795395;0;0;0;241.8;-7.2
100451;89370;8;1111110;02/07/2007;30/06/2008;305;25;02/06/2008;BT;Paid;22/06/2007;874;235;235;0.770492;0;0;0;235;0
100452;89370;8;1111110;01/07/2006;30/06/2007;303;15;;BT;Paid;27/06/2006;873;229;229;0.755776;0;0;0;229;0
1004554;290109;5;1111110;21/01/2010;19/03/2010;50;25;09/03/2010;BT;Paid;26/01/2010;9584;51.9737;29.6;0.592;0;22.3737;22.3737;29.6;0
1004568;482314;8;1111110;19/02/2010;26/02/2011;304;10;27/01/2011;BT;Paid;10/03/2010;8637;267;267;0.878289;0;0;0;267;0
1004661;885942;6;1111110;19/02/2010;18/02/2011;304;10;19/01/2011;BT;Paid;02/02/2010;8640;267;267;0.878289;0;0;0;267;0
1004837;643523;7;1111110;19/02/2010;20/08/2010;152;10;21/07/2010;BT;Paid;28/01/2010;8906;148;148;0.973684;0;0;0;148;0
1004902;672274;7;1111110;05/02/2010;06/03/2010;25;10;17/02/2010;DD;Paid;20/01/2010;9417;27;27;1.08;0;0;0;27;0
1005171;1016777;5;1111110;19/02/2010;21/05/2010;76;10;21/04/2010;BT;Paid;17/02/2010;9105;79;79;1.039474;0;0;0;79;0
1005519;86995;8;1111110;20/02/2010;19/02/2011;304;10;20/01/2011;BT;Paid;24/02/2010;8637;267;267;0.878289;0;0;0;267;0
1005774;871676;1;1111110;20/02/2010;20/02/2010;76;10;;BT;Not Paid;;8929;;;;;;;;
1005944;639397;8;1111110;06/02/2010;06/03/2010;25;25;18/02/2010;DD;Paid;27/01/2010;4688;22.9;22.9;0.916;0;0;0;22.9;0
1005969;670663;2;1111110;06/02/2010;06/03/2010;25;10;18/02/2010;DD;Paid;27/01/2010;9417;27;27;1.08;0;0;0;27;0
1006019;309321;6;1111110;06/02/2010;06/03/2010;25;25;18/02/2010;DD;Paid;27/01/2010;5389;22.9;22.9;0.916;0;0;0;22.9;0
1006090;684448;1;1111110;02/02/2010;02/03/2010;25;25;03/02/2010;BT;Paid;03/02/2010;9466;23.6;23.6;0.944;0;0;0;23.6;0
1006611;881258;6;1111110;21/02/2010;25/05/2010;76;10;26/04/2010;BT;Paid;04/02/2010;8644;79;79;1.039474;0;0;0;79;0
1006761;122874;8;1111110;07/02/2010;08/03/2010;25;25;22/02/2010;DD;Paid;27/01/2010;4688;22.9;22.9;0.916;0;0;0;22.9;0
1007210;1144737;1;1111110;27/01/2010;25/03/2010;50;25;;BT;Paid;15/02/2010;9589;51.9737;29.6;0.592;0;22.3737;22.3737;29.6;0
1007660;640930;1;1111110;24/02/2010;23/02/2011;304;10;24/01/2011;BT;Paid;08/02/2010;8903;267;267;0.878289;0;0;0;267;0
1008417;773992;6;1111110;24/02/2010;23/02/2011;304;10;24/01/2011;BT;Paid;03/02/2010;8903;267;267;0.878289;0;0;0;267;0
1008741;800557;6;1111110;24/02/2010;06/03/2010;152;10;;BT;Not Paid;;9102;148;148;0.973684;0;0;0;0;0
1008806;364092;8;1111110;25/02/2010;28/05/2010;76;10;28/04/2010;BT;Paid;19/02/2010;8635;79;79;1.039474;0;0;0;79;0
1009046;774766;2;1111110;23/02/2010;26/05/2010;76;10;26/04/2010;BT;Paid;19/02/2010;8644;79;79;1.039474;0;0;0;79;0
1010009;182620;8;1111110;26/02/2010;29/05/2010;76;10;29/04/2010;BT;Paid;08/02/2010;8742;79;79;1.039474;0;0;0;79;0
1010132;109965;8;0101010;28/01/2010;05/02/2011;156;12;06/01/2011;BT;Paid;05/02/2010;1505;57.2;57.2;1.1;0;0;0;171.6;0
1010409;448750;2;1111110;29/01/2010;26/02/2010;25;25;10/02/2010;DD;Paid;27/01/2010;9417;27;27;1.08;0;0;0;27;0
1010513;653662;3;1111110;27/02/2010;27/02/2010;304;10;;BT;Not Paid;;8640;;;;;;;;
1010600;515045;7;1111110;27/02/2010;26/02/2011;304;10;27/01/2011;BT;Paid;10/02/2010;8640;267;267;0.878289;0;0;0;267;0
1011089;364377;8;1111110;27/02/2010;31/05/2010;76;10;03/05/2010;BT;Paid;23/02/2010;9055;79;79;1.039474;0;0;0;79;0
1011297;67030;8;1111110;28/02/2010;01/03/2011;304;10;31/01/2011;BT;Paid;10/02/2010;8637;267;267;0.878289;0;0;0;267;0
1011431;94699;8;1111110;28/02/2010;30/08/2010;152;10;02/08/2010;BT;Paid;22/02/2010;8802;148;148;0.973684;0;0;0;148;0
1011440;112614;8;1111110;28/02/2010;01/06/2010;76;10;03/05/2010;BT;Paid;09/02/2010;8742;79;79;1.039474;0;0;0;79;0
1011502;893088;3;1111110;28/02/2010;01/06/2010;76;10;03/05/2010;BT;Paid;09/02/2010;8644;79;79;1.039474;0;0;0;79;0
1011824;132770;8;1111110;18/02/2010;18/02/2010;152;10;;BT;Not Paid;;9104;;;;;;;;
1012052;648941;2;1111110;02/03/2010;01/03/2011;304;10;31/01/2011;BT;Paid;26/02/2010;8640;267;267;0.878289;0;0;0;267;0
1012285;649235;2;1111110;02/03/2010;01/03/2011;304;10;31/01/2011;BT;Paid;11/02/2010;8640;267;267;0.878289;0;0;0;267;0
1012294;599124;3;1111110;02/03/2010;01/03/2011;304;10;31/01/2011;BT;Paid;19/02/2010;8640;267;267;0.878289;0;0;0;267;0
1012300;813975;5;1111110;02/03/2010;01/03/2011;304;10;31/01/2011;BT;Paid;10/03/2010;8640;267;267;0.878289;0;0;0;267;0
1012387;719842;3;1111110;02/03/2010;01/03/2011;304;10;31/01/2011;BT;Paid;24/02/2010;8640;267;267;0.878289;0;0;0;267;0
101250;89898;8;1111110;19/10/2008;20/10/2009;304;10;21/09/2009;BT;Paid;16/10/2008;875;249;249;0.819079;0;0;0;249;0
1012500;293003;6;1111110;02/03/2010;01/03/2011;304;10;31/01/2011;BT;Paid;10/03/2010;8640;267;267;0.878289;0;0;0;267;0
101251;89898;8;1111110;22/09/2007;18/10/2008;329;25;18/09/2008;BT;Paid;12/09/2007;1004;254.33;235;0.707599;0;19.33;19.33;232.8;-2.2
101252;89898;8;1111110;22/06/2007;21/09/2007;77;25;;BT;Paid;16/05/2007;864;68;68;0.883117;0;0;0;68;0
101253;89898;8;1111110;22/03/2007;21/06/2007;75;25;;BT;Paid;28/02/2007;864;68;68;0.906667;0;0;0;68;0
101254;89898;8;1111110;22/12/2006;21/03/2007;75;25;;BT;Paid;29/12/2006;1287;68;68;0.787333;0;0;0;59.05;0
1012565;680875;6;1111110;03/03/2010;02/03/2011;304;10;31/01/2011;BT;Paid;18/02/2010;8640;267;267;0.878289;0;0;0;267;0
1012766;291765;7;1111110;02/03/2010;01/03/2011;304;10;31/01/2011;BT;Paid;04/03/2010;8640;267;267;0.878289;0;0;0;267;0
1013107;754597;8;1111110;03/03/2010;02/03/2011;304;10;31/01/2011;BT;Paid;02/03/2010;8637;267;267;0.878289;0;0;0;267;0
1013271;649347;6;1111110;02/03/2010;01/03/2011;304;10;31/01/2011;BT;Paid;18/02/2010;8640;267;267;0.878289;0;0;0;267;0
1013380;650225;6;1111110;02/03/2010;01/03/2011;304;10;31/01/2011;BT;Paid;26/02/2010;8640;267;267;0.878289;0;0;0;267;0
1013389;650049;6;1111110;02/03/2010;01/03/2011;304;10;31/01/2011;BT;Paid;12/02/2010;8640;267;267;0.878289;0;0;0;267;0
1013497;650093;6;1111110;02/03/2010;01/03/2011;304;10;31/01/2011;BT;Paid;03/03/2010;8640;267;267;0.878289;0;0;0;267;0
1013526;666941;6;1111110;02/03/2010;01/03/2011;304;10;31/01/2011;BT;Paid;03/03/2010;8640;267;267;0.878289;0;0;0;267;0
1013622;648354;2;1111110;03/03/2010;02/03/2011;304;10;31/01/2011;BT;Paid;02/03/2010;8640;267;267;0.878289;0;0;0;267;0
1013786;668238;3;1111110;03/03/2010;02/03/2011;304;10;31/01/2011;BT;Paid;16/02/2010;8640;267;267;0.878289;0;0;0;267;0
1013798;195474;8;1111110;02/03/2010;01/03/2011;304;10;31/01/2011;BT;Paid;01/03/2010;8637;267;267;0.878289;0;0;0;267;0
1013946;514330;7;1111110;02/03/2010;01/03/2011;304;10;31/01/2011;BT;Paid;26/02/2010;8640;267;267;0.878289;0;0;0;267;0
1013986;514923;8;1111110;02/03/2010;31/08/2010;152;10;02/08/2010;BT;Paid;02/03/2010;8636;148;148;0.973684;0;0;0;148;0
101411;90009;8;1111110;01/01/2008;31/03/2008;76;10;19/03/2008;BT;Paid;27/12/2007;865;74;74;0.973684;0;0;0;74;0
101412;90009;8;1111110;30/09/2007;31/12/2007;77;25;01/12/2007;BT;Paid;01/10/2007;864;68;68;0.883117;0;0;0;68;0
101413;90009;8;1111110;02/07/2007;29/09/2007;76;25;;BT;Paid;27/06/2007;864;68;68;0.894737;0;0;0;68;0
1014131;910596;8;1111110;02/03/2010;12/03/2010;152;10;;BT;Not Paid;;9095;148;148;0.973684;0;0;0;0;0
101414;90009;8;1111110;02/04/2007;30/06/2007;74;25;;BT;Paid;27/03/2007;864;68;68;0.918919;0;0;0;68;0
101415;90009;8;1111110;02/01/2007;31/03/2007;77;25;;BT;Paid;28/12/2006;864;68;68;0.883117;0;0;0;68;0
1014224;832098;7;1111110;03/03/2010;01/09/2010;152;10;02/08/2010;BT;Paid;26/02/2010;8642;148;148;0.973684;0;0;0;148;0
1014262;463919;8;1111110;03/03/2010;03/06/2010;76;10;04/05/2010;BT;Paid;25/02/2010;8742;79;79;1.039474;0;0;0;79;0
1014509;982275;1;1111110;02/03/2010;02/06/2010;76;10;03/05/2010;BT;Paid;12/02/2010;8643;79;79;1.039474;0;0;0;79;0
1014567;915486;8;1111110;03/03/2010;03/06/2010;76;10;04/05/2010;BT;Paid;22/02/2010;8635;79;79;1.039474;0;0;0;79;0
1014609;721428;2;1111110;04/03/2010;25/06/2010;76;10;05/05/2010;BT;Paid;24/02/2010;8644;79;79;1.039474;0;0;0;79;0
1014673;703931;6;1111110;03/03/2010;03/06/2010;76;10;04/05/2010;BT;Paid;08/03/2010;8644;79;79;1.039474;0;0;0;79;0
1014702;947564;3;1111110;03/03/2010;09/06/2010;76;10;04/05/2010;BT;Paid;26/02/2010;8907;79;79;1.039474;0;0;0;79;0
1014798;940996;2;1111110;04/03/2010;15/03/2010;76;10;;BT;Not Paid;;8929;79;79;1.039474;0;0;0;0;0
1014807;996845;8;1111110;16/02/2010;16/03/2010;25;25;01/03/2010;DD;Paid;03/02/2010;4688;22.9;22.9;0.916;0;0;0;22.9;0
1014870;725911;6;1111110;02/03/2010;02/03/2010;76;10;;BT;Not Paid;;8644;;;;;;;;
1014962;249832;8;1111110;16/02/2010;16/03/2010;25;25;01/03/2010;DD;Paid;03/02/2010;4688;22.9;22.9;0.916;0;0;0;22.9;0
1015086;655449;2;1111110;17/02/2010;17/03/2010;25;10;01/03/2010;DD;Paid;03/02/2010;9417;27;27;1.08;0;0;0;27;0
1015775;23596;8;1111110;05/03/2010;03/09/2010;152;10;04/08/2010;BT;Paid;22/02/2010;8636;148;148;0.973684;0;0;0;148;0
1015792;874542;8;1111110;05/03/2010;16/03/2010;76;10;;BT;Not Paid;;8635;79;79;1.039474;0;0;0;0;0
1015880;6737;8;1111110;05/03/2010;11/09/2010;152;10;12/08/2010;BT;Paid;19/02/2010;8636;148;148;0.973684;0;0;0;158.43;0
1015951;595177;1;1111110;19/02/2010;21/05/2010;76;10;05/05/2010;DD;Paid;03/02/2010;8644;79;79;1.039474;0;0;0;79;0
1016022;76865;8;1111110;19/02/2010;19/03/2010;25;10;03/03/2010;DD;Paid;03/02/2010;8638;27;27;1.08;0;0;0;27;0
1016191;663946;6;1111110;19/02/2010;19/03/2010;25;10;03/03/2010;DD;Paid;03/02/2010;9417;27;27;1.08;0;0;0;27;0
1016254;655981;1;1111110;19/02/2010;19/03/2010;25;10;03/03/2010;DD;Paid;03/02/2010;9417;27;27;1.08;0;0;0;27;0
1016306;671995;2;1111110;19/02/2010;19/03/2010;25;10;03/03/2010;DD;Paid;03/02/2010;9417;27;27;1.08;0;0;0;27;0
101636;90119;8;1111110;01/07/2008;01/07/2009;304;10;01/06/2009;BT;Paid;12/06/2008;875;249;249;0.819079;0;0;0;249;0
101637;90119;8;1111110;02/07/2007;30/06/2008;305;25;02/06/2008;BT;Paid;08/06/2007;874;235;235;0.770492;0;0;0;235;0
101638;90119;8;1111110;01/07/2006;30/06/2007;303;15;;BT;Paid;13/06/2006;873;229;229;0.755776;0;0;0;229;0
1016847;653911;1;1111110;19/02/2010;19/03/2010;25;10;03/03/2010;DD;Paid;03/02/2010;9417;27;27;1.08;0;0;0;27;0
101783;90198;8;1111110;01/01/2008;30/12/2008;304;10;21/11/2008;BT;Paid;12/12/2007;875;249;249;0.819079;0;0;0;249;0
101784;90198;8;1111110;02/01/2007;31/12/2007;304;25;01/12/2007;BT;Paid;13/12/2006;874;235;235;0.773026;0;0;0;235;0
1018215;672905;1;1111110;20/02/2010;20/03/2010;25;10;04/03/2010;DD;Paid;10/02/2010;9417;27;27;1.08;0;0;0;27;0
1018295;671830;3;1111110;20/02/2010;20/03/2010;25;10;04/03/2010;DD;Paid;10/02/2010;9417;27;27;1.08;0;0;0;27;0
1018323;658714;6;1111110;20/02/2010;20/03/2010;25;10;04/03/2010;DD;Paid;10/02/2010;9417;27;27;1.08;0;0;0;27;0
1018369;684448;1;1111110;03/03/2010;31/03/2010;25;25;15/03/2010;DD;Paid;10/02/2010;9466;23.6;23.6;0.944;0;0;0;23.6;0
1018695;63060;8;1111110;07/03/2010;06/09/2010;152;10;09/08/2010;BT;Paid;23/02/2010;8802;148;148;0.973684;0;0;0;148;0
1018715;996304;8;1111110;21/02/2010;25/05/2010;76;10;10/05/2010;DD;Paid;10/02/2010;8635;79;79;1.039474;0;0;0;79;0
1018977;649119;2;1111110;21/02/2010;22/03/2010;25;10;08/03/2010;DD;Paid;10/02/2010;9417;27;27;1.08;0;0;0;27;0
1019077;671127;1;1111110;21/02/2010;22/03/2010;25;10;08/03/2010;DD;Paid;10/02/2010;9417;27;27;1.08;0;0;0;27;0
1020080;670664;2;1111110;11/03/2010;09/09/2010;152;10;10/08/2010;BT;Paid;08/03/2010;8642;148;148;0.973684;0;0;0;148;0
1020128;182806;8;1111110;09/03/2010;07/09/2010;152;10;09/08/2010;BT;Paid;19/02/2010;8636;148;148;0.973684;0;0;0;148;0
1020622;260247;6;1111110;09/03/2010;18/06/2010;76;10;10/05/2010;BT;Paid;19/03/2010;8644;79;79;1.039474;0;0;0;79;0
1020623;590581;6;1111110;09/03/2010;09/06/2010;76;10;10/05/2010;BT;Paid;17/02/2010;8644;79;79;1.039474;0;0;0;79;0
1020782;195095;8;1111110;25/02/2010;25/03/2010;25;25;09/03/2010;DD;Paid;10/02/2010;4688;22.9;22.9;0.916;0;0;0;22.9;0
1020890;237341;8;1111110;10/02/2010;11/05/2010;76;25;12/04/2010;BT;Paid;09/02/2010;10036;79;54;0.710526;0;25;25;54;0
1021457;1126074;8;1111110;11/02/2010;26/08/2010;164;25;27/07/2010;BT;Paid;09/02/2010;9094;159.68421;148;0.902439;0;11.68421;11.68421;148;0
1021512;70052;8;1111110;20/02/2010;20/03/2010;25;25;26/02/2010;BT;Paid;16/02/2010;9465;23.6;23.6;0.944;0;0;0;23.6;0
1021759;1153507;6;1111110;15/02/2010;20/05/2010;76;25;21/04/2010;BT;Paid;18/03/2010;8788;79;79;1.039474;0;0;0;79;0
1021933;686014;5;1111110;26/02/2010;29/03/2010;25;10;15/03/2010;DD;Paid;10/02/2010;9417;27;27;1.08;0;0;0;27;0
1021953;92704;8;1111110;26/02/2010;26/03/2010;25;25;10/03/2010;DD;Paid;10/02/2010;4688;22.9;22.9;0.916;0;0;0;22.9;0
1022457;831146;6;1111110;13/03/2010;14/06/2010;76;10;17/05/2010;BT;Paid;23/03/2010;8644;79;79;1.039474;0;0;0;79;0
1022837;448750;2;1111110;27/02/2010;27/03/2010;25;10;11/03/2010;DD;Paid;17/02/2010;9417;27;27;1.08;0;0;0;27;0
1023128;962147;2;1111110;14/03/2010;25/03/2010;304;10;02/04/2010;BT;Not Paid;;8896;267;267;0.878289;0;0;0;0;0
102314;90481;8;1111110;01/11/2007;29/10/2008;304;;29/09/2008;BT;Paid;31/10/2007;874;235;235;0.773026;0;0;0;235;0
102315;90481;8;1111110;02/11/2006;31/10/2007;303;15;01/10/2007;BT;Paid;03/10/2006;873;229;229;0.755776;0;0;0;229;0
1023199;293000;8;1111110;14/03/2010;14/03/2010;76;10;;BT;Not Paid;;9171;;;;;;;;
1023258;659050;5;1111110;28/02/2010;29/03/2010;25;10;15/03/2010;DD;Paid;17/02/2010;9417;27;27;1.08;0;0;0;27;0
1023344;608896;3;1111110;10/03/2010;08/04/2010;25;25;18/03/2010;DD;Paid;17/02/2010;5389;22.9;22.9;0.916;0;0;0;22.9;0
1023383;871676;1;1111110;20/02/2010;20/02/2010;164;25;18/02/2010;BT;Not Paid;;9611;159.684176;148;0.902439;0;11.684176;11.684176;0;0
1024585;815809;8;1111110;16/03/2010;17/09/2010;152;10;18/08/2010;BT;Paid;30/03/2010;8636;148;148;0.973684;0;0;0;148;0
1024860;591502;1;1111110;16/03/2010;16/06/2010;76;10;17/05/2010;BT;Paid;02/03/2010;8644;79;79;1.039474;0;0;0;79;0
1024936;87904;8;1111110;18/03/2010;18/06/2010;76;10;19/05/2010;BT;Paid;17/03/2010;8548;79;79;1.039474;0;0;0;79;0
1025021;676836;2;1111110;03/03/2010;10/06/2010;76;10;25/05/2010;DD;Paid;17/02/2010;8644;79;79;1.039474;0;0;0;79;0
1025056;708778;6;1111110;02/03/2010;02/06/2010;76;10;17/05/2010;DD;Paid;17/02/2010;8644;79;79;1.039474;0;0;0;79;0
1025111;775138;1;1111110;18/03/2010;07/07/2010;76;10;07/06/2010;BT;Paid;18/03/2010;8644;79;79;1.039474;0;0;0;79;0
1025265;686073;3;1111110;03/03/2010;31/03/2010;25;10;15/03/2010;DD;Paid;17/02/2010;9417;27;27;1.08;0;0;0;27;0
1025395;496557;6;1111110;04/03/2010;01/04/2010;25;25;16/03/2010;DD;Paid;17/02/2010;5389;22.9;22.9;0.916;0;0;0;22.9;0
1026047;451025;8;1111110;18/02/2010;18/03/2010;25;25;04/03/2010;BT;Paid;01/03/2010;9465;23.6;23.6;0.944;0;0;0;23.6;0
1026160;686509;2;1111110;05/03/2010;02/04/2010;25;10;17/03/2010;DD;Paid;17/02/2010;9417;27;27;1.08;0;0;0;27;0
1026660;672274;7;1111110;07/03/2010;06/04/2010;25;10;22/03/2010;DD;Paid;24/02/2010;9417;27;27;1.08;0;0;0;27;0
1026773;595080;7;1111110;06/03/2010;03/04/2010;25;25;18/03/2010;DD;Paid;24/02/2010;9466;23.6;23.6;0.944;0;0;0;23.6;0
1027353;871676;1;1111110;21/02/2010;09/09/2010;152;25;10/08/2010;BT;Paid;26/02/2010;10539;146;90;0.592105;0;56;56;90;0
1027591;787486;8;1111110;21/03/2010;21/03/2010;152;10;;BT;Not Paid;;8636;;;;;;;;
1027601;592938;3;1111110;21/03/2010;29/09/2010;152;10;23/08/2010;BT;Paid;12/03/2010;8642;148;148;0.973684;0;0;0;148;0
1027713;639397;8;1111110;07/03/2010;06/04/2010;25;25;22/03/2010;DD;Paid;24/02/2010;4688;22.9;22.9;0.916;0;0;0;22.9;0
1027765;799769;8;1111110;14/03/2010;13/04/2010;25;25;15/03/2010;BT;Paid;15/03/2010;4688;22.9;22.9;0.916;0;0;0;22.9;0
1027813;309321;6;1111110;07/03/2010;06/04/2010;25;25;22/03/2010;DD;Paid;24/02/2010;5389;22.9;22.9;0.916;0;0;0;22.9;0
1027829;670663;2;1111110;07/03/2010;06/04/2010;25;10;22/03/2010;DD;Paid;24/02/2010;9417;27;27;1.08;0;0;0;27;0
1028014;735141;3;0010000;25/03/2010;01/12/2010;52;4;;BT;Paid;11/03/2010;1934;57.2;57.2;1.1;0;0;0;57.2;0
102857;90782;8;1111110;01/01/2008;30/12/2008;304;10;21/11/2008;BT;Paid;29/12/2007;875;249;249;0.819079;0;0;0;249;0
102858;90782;8;1111110;02/01/2007;31/12/2007;304;25;01/12/2007;BT;Paid;26/12/2006;874;235;235;0.773026;0;0;0;235;0
1028581;292007;8;1111110;24/03/2010;24/06/2010;76;10;25/05/2010;BT;Paid;08/03/2010;8635;79;79;1.039474;0;0;0;79;0
1028627;238763;8;1111110;23/03/2010;23/06/2010;76;10;24/05/2010;BT;Paid;23/03/2010;8635;79;79;1.039474;0;0;0;79;0
1028695;286795;7;1111110;25/03/2010;25/06/2010;76;10;26/05/2010;BT;Paid;31/03/2010;8644;79;79;1.039474;0;0;0;79;0
1028708;497381;8;1111110;23/03/2010;23/06/2010;76;10;24/05/2010;BT;Paid;18/03/2010;8635;79;79;1.039474;0;0;0;79;0
1028727;755387;8;1111110;23/03/2010;20/07/2010;76;10;21/06/2010;BT;Paid;23/03/2010;8635;79;79;1.039474;0;0;0;79;0
1028766;34360;1;1111110;25/03/2010;25/06/2010;76;10;26/05/2010;BT;Paid;05/03/2010;8644;79;79;1.039474;0;0;0;79;0
1028781;132916;8;1111110;23/03/2010;23/06/2010;76;10;24/05/2010;BT;Paid;12/03/2010;8737;79;79;1.039474;0;0;0;79;0
1028804;692030;8;1111110;24/03/2010;24/06/2010;76;10;09/06/2010;BT;Paid;11/03/2010;9150;79;79;1.039474;0;0;0;79;0
1028831;627451;3;1111110;25/03/2010;10/07/2010;76;10;31/05/2010;BT;Paid;25/03/2010;8644;79;79;1.039474;0;0;0;79;0
1028844;121043;8;1111110;09/03/2010;09/06/2010;76;10;24/05/2010;DD;Paid;24/02/2010;8635;79;79;1.039474;0;0;0;79;0
1028947;119012;8;1111110;24/03/2010;24/06/2010;76;10;25/05/2010;BT;Paid;12/03/2010;8635;79;79;1.039474;0;0;0;79;0
1029068;196035;8;1111110;23/03/2010;23/06/2010;76;10;24/05/2010;BT;Paid;26/03/2010;8635;79;79;1.039474;0;0;0;79;0
1029098;122874;8;1111110;09/03/2010;07/04/2010;25;25;22/03/2010;DD;Paid;24/02/2010;4688;22.9;22.9;0.916;0;0;0;22.9;0
1029671;984244;1;1111110;26/03/2010;26/06/2010;76;10;27/05/2010;BT;Paid;05/03/2010;8644;79;79;1.039474;0;0;0;79;0
1029806;245508;8;1111110;26/03/2010;26/06/2010;76;10;27/05/2010;BT;Paid;24/03/2010;8635;79;79;1.039474;0;0;0;79;0
1029884;77132;8;1111110;26/03/2010;26/06/2010;76;10;27/05/2010;BT;Paid;19/03/2010;8635;79;79;1.039474;0;0;0;79;0
1030418;497901;8;1111110;13/03/2010;12/04/2010;25;25;29/03/2010;DD;Paid;03/03/2010;4688;22.9;22.9;0.916;0;0;0;22.9;0
1030861;977891;2;1111110;28/03/2010;27/09/2010;152;10;30/08/2010;BT;Paid;18/03/2010;8642;148;148;0.973684;0;0;0;148;0
1030899;123798;8;1111110;28/03/2010;29/06/2010;76;10;31/05/2010;BT;Paid;07/04/2010;8635;79;79;1.039474;0;0;0;79;0
1031411;70052;8;1111110;21/03/2010;20/04/2010;25;25;05/04/2010;DD;Paid;03/03/2010;9465;23.6;23.6;0.944;0;0;0;23.6;0
